question,reponses/0,reponses/1,reponses/2,date
Comment puis-je signaler un problème ou une urgence durant mon séjour ?,Nous disposons d'une ligne d'assistance disponible 24h/24 pour tout problème ou urgence.,Vous pouvez également nous contacter via l'application mobile pour une assistance rapide.,,2023-06-10
Les logements sont-ils équipés pour accueillir des personnes à mobilité réduite ?,Certains de nos logements sont spécialement aménagés pour les personnes à mobilité réduite.,Chaque logement est équipé selon des standards de qualité élevés.,Nous assurons un service client disponible 24/7 pour nos locations.,2023-03-28
Peut-on prolonger un séjour déjà en cours ?,Les prolongations de séjour sont possibles selon la disponibilité.,Nous sommes dédiés à fournir un service de qualité.,"Pour plus d'informations, contactez notre service client.",2023-07-22
Les logements sont-ils non-fumeurs ou puis-je fumer à l'intérieur ?,Tous nos logements sont non-fumeurs pour garantir la qualité de l'air pour tous les locataires.,Chaque logement est équipé selon des standards de qualité élevés.,Nous assurons un service client disponible 24/7 pour nos locations.,2023-10-30
Y a-t-il des frais de nettoyage supplémentaires ?,Les frais de nettoyage sont inclus dans le prix de la location.,Nous sommes dédiés à fournir un service de qualité.,"Pour plus d'informations, contactez notre service client.",2023-02-14
Les animaux de compagnie sont-ils autorisés dans les logements ?,Les animaux de compagnie sont autorisés dans certains logements avec un supplément.,Veuillez vérifier les règles spécifiques de chaque logement concernant les animaux.,,2023-01-31
Quels sont les équipements standard dans les logements ?,"Nos logements sont équipés de WiFi, cuisine complète, linge de maison et produits de base.",La plupart des logements disposent également de télévision et de climatisation.,Chaque logement est équipé selon des standards de qualité élevés.,2023-05-03
Est-il possible de visiter le logement avant de réserver ?,Nous offrons une visite virtuelle des logements sur notre site web.,Les visites physiques sont possibles sur demande pour les séjours de longue durée.,Chaque logement est équipé selon des standards de qualité élevés.,2023-08-20
Quels sont les modes de paiement acceptés ?,"Nous acceptons les paiements par carte de crédit, PayPal et virements bancaires.",Nous sommes dédiés à fournir un service de qualité.,"Pour plus d'informations, contactez notre service client.",2023-09-15
Comment sont gérées les clés ou l'accès aux logements ?,Nous utilisons un système de verrouillage électronique pour un accès sécurisé et pratique.,Des instructions détaillées sont fournies avant votre arrivée.,Chaque logement est équipé selon des standards de qualité élevés.,2023-04-10
Existe-t-il des réductions pour les longs séjours ?,Des tarifs réduits sont disponibles pour les séjours de plus d'une semaine.,Les réductions varient en fonction de la durée et de la période de l'année.,Nous sommes dédiés à fournir un service de qualité.,2023-06-27
Comment puis-je modifier ma réservation après confirmation ?,Les modifications de réservation peuvent être effectuées via notre site web ou en contactant notre service client.,,,2024-06-02
