Favorable/commentaire,Favorable/reponses/0/Commentaire,Favorable/reponses/0/reponse/Commentaire,Favorable/reponses/0/reponse/reponse,Favorable/reponses/1/Commentaire,Favorable/reponses/1/reponse/Commentaire,Favorable/reponses/1/reponse/reponse,neutre/commentaire,neutre/reponses/0/Commentaire,neutre/reponses/0/reponse/Commentaire,neutre/reponses/0/reponse/reponse,neutre/reponses/1/Commentaire,neutre/reponses/1/reponse/Commentaire,neutre/reponses/1/reponse/reponse,negatif/commentaire,negatif/reponses/0/Commentaire,negatif/reponses/0/reponse/Commentaire,negatif/reponses/0/reponse/reponse,negatif/reponses/1/Commentaire,negatif/reponses/1/reponse/Commentaire,negatif/reponses/1/reponse/reponse
"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Correct, mais je m'attendais à un peu mieux vu les avis.","Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Mauvaise expérience globale, service à revoir.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Exceptionnel sur tous les points, je recommande vivement.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Plutôt satisfait, mais il y a de la marge pour rendre l'expérience plus mémorable.","Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Mauvaise expérience globale, service à revoir.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Exceptionnel sur tous les points, je recommande vivement.",Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,"Correct, mais je m'attendais à un peu mieux vu les avis.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Mauvaise expérience globale, service à revoir.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,"Correct, mais je m'attendais à un peu mieux vu les avis.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Pas à la hauteur de mes attentes, surtout au niveau de l'accueil et des services.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Exceptionnel sur tous les points, je recommande vivement.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Plutôt satisfait, mais il y a de la marge pour rendre l'expérience plus mémorable.","Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Mauvaise expérience globale, service à revoir.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Exceptionnel sur tous les points, je recommande vivement.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Correct, mais je m'attendais à un peu mieux vu les avis.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Déçu par plusieurs aspects de mon séjour, je ne pense pas revenir.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Correct, mais je m'attendais à un peu mieux vu les avis.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Pas à la hauteur de mes attentes, surtout au niveau de l'accueil et des services.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Exceptionnel sur tous les points, je recommande vivement.",Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Plutôt satisfait, mais il y a de la marge pour rendre l'expérience plus mémorable.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Pas à la hauteur de mes attentes, surtout au niveau de l'accueil et des services.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Exceptionnel sur tous les points, je recommande vivement.",Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Correct, mais je m'attendais à un peu mieux vu les avis.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Mauvaise expérience globale, service à revoir.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,Nous souhaitons discuter davantage avec vous pour rectifier la situation. N'hésitez pas à nous contacter.,,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Un séjour absolument parfait, merci pour tout !",Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Plutôt satisfait, mais il y a de la marge pour rendre l'expérience plus mémorable.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Mauvaise expérience globale, service à revoir.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Correct, mais je m'attendais à un peu mieux vu les avis.","Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Pas à la hauteur de mes attentes, surtout au niveau de l'accueil et des services.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Un séjour absolument parfait, merci pour tout !",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,"Correct, mais je m'attendais à un peu mieux vu les avis.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Pas à la hauteur de mes attentes, surtout au niveau de l'accueil et des services.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,Nous souhaitons discuter davantage avec vous pour rectifier la situation. N'hésitez pas à nous contacter.,,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,C'est toujours un plaisir de servir nos clients. À très bientôt !,,Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Plutôt satisfait, mais il y a de la marge pour rendre l'expérience plus mémorable.","Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Merci pour votre retour, nous sommes attentifs à vos suggestions pour améliorer nos services.",Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,"Déçu par plusieurs aspects de mon séjour, je ne pense pas revenir.",Il est regrettable que vous ayez eu une mauvaise expérience. Nous prenons vos commentaires très au sérieux.,Nous souhaitons discuter davantage avec vous pour rectifier la situation. N'hésitez pas à nous contacter.,,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
"Un séjour absolument parfait, merci pour tout !",Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.,Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.,,"Bon séjour dans l'ensemble, mais quelques points à améliorer.",Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous espérons vous offrir une meilleure expérience lors de votre prochaine visite.,,Votre avis est important pour nous aider à progresser. Merci d'avoir pris le temps de nous écrire.,Nous travaillons déjà sur les améliorations évoquées. Merci de votre compréhension.,,"Déçu par plusieurs aspects de mon séjour, je ne pense pas revenir.",Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",,Nous sommes profondément désolés pour les désagréments rencontrés. Votre feedback est crucial pour nous.,"Votre satisfaction est importante, et nous espérons regagner votre confiance à l'avenir.",
